645 111957
471 140 302
424 83 177
263 528 484
536 597 541
204 332 962
201 643 11
113 236 712
126 221 198
314 552 380
259 94 195
518 413 387
471 242 434
637 174 122
183 363 607
82 481 326
190 347 539
217 221 434
363 278 735
209 593 274
335 97 231
318 332 343
497 500 615
329 120 790
348 206 260
264 73 543
309 641 553
612 48 762
632 549 489
195 357 740
157 111 356
64 643 500
126 398 281
391 445 52
446 474 726
24 365 784
21 237 328
251 380 542
274 186 697
492 51 263
38 308 549
637 485 34
196 281 229
588 85 693
500 471 281
233 486 168
604 352 483
371 325 252
337 346 892
446 601 322
150 478 317
609 599 661
558 540 682
86 38 278
595 443 433
489 547 915
407 548 692
475 20 990
67 590 338
532 546 501
90 562 313
606 157 589
165 560 205
150 566 278
51 537 297
403 324 919
303 90 627
640 84 774
100 79 940
559 89 213
483 559 562
146 248 450
100 313 428
100 527 990
503 531 761
470 404 718
519 78 203
250 545 700
396 72 440
217 102 375
528 312 768
276 397 208
295 245 689
198 300 357
4 475 976
364 631 700
153 95 580
31 473 797
525 266 236
357 435 478
451 76 814
345 537 616
85 501 775
151 7 420
370 537 318
159 348 549
616 285 27
593 309 353
131 330 525
612 49 453
531 85 359
565 233 932
515 338 282
386 327 931
574 197 900
172 361 684
417 610 286
72 335 339
598 220 548
293 230 963
366 576 608
148 79 854
197 438 951
195 241 480
131 215 893
389 234 561
644 118 547
562 212 856
319 132 95
66 617 161
301 639 339
120 18 898
166 351 767
158 288 592
375 23 559
200 358 596
247 291 734
31 16 762
379 625 29
580 82 545
369 359 744
550 241 562
276 57 584
49 325 22
607 464 205
43 229 506
311 103 750
145 75 27
525 319 400
184 141 304
212 22 361
336 504 261
574 19 25
266 183 537
608 370 907
491 634 642
164 170 116
226 31 886
216 350 332
499 156 915
107 124 565
590 513 665
165 637 567
369 110 924
516 282 464
58 100 417
448 127 607
31 476 734
520 209 672
411 3 151
275 265 548
264 247 269
339 470 35
626 55 994
94 150 250
580 223 796
191 145 952
636 152 746
10 610 79
480 215 52
264 288 477
364 262 895
181 35 976
526 308 581
314 606 849
41 223 474
336 38 920
221 199 307
485 8 978
78 289 309
567 469 836
263 181 861
48 641 523
266 438 499
435 531 380
359 135 295
361 150 485
600 185 465
427 344 83
52 486 949
586 221 399
570 557 715
19 454 869
292 137 767
314 330 429
552 82 564
2 433 610
336 629 87
452 342 613
201 569 907
75 105 385
287 523 561
440 546 817
162 446 309
371 201 378
609 252 35
23 590 19
637 59 487
593 602 458
583 67 770
41 118 940
83 208 941
