198665 1489
88191 4143 895426987
160911 131531 53838920
91821 23540 501082760
189337 53398 635535303
29763 54932 525986727
34483 96294 848056309
165324 117001 209232051
68480 187842 587791626
105526 175418 759189972
153618 82473 959705538
49916 93926 48658540
108744 119844 735462433
51241 21254 272904865
151510 137961 959764365
52973 120252 543450742
82998 69215 844774694
93777 41215 111403974
59347 196963 65649327
127902 168388 972253687
83622 121528 305710439
132535 1476 600764958
169947 108826 894435294
114754 108900 553879196
126119 58449 233237558
23406 166342 160382648
15010 197630 243480522
66851 108408 838948884
193498 54742 478744051
170012 27577 383679046
145510 59346 339033114
185894 19409 639557069
115128 27585 988041281
131282 101532 335305522
180401 13602 265171911
52771 73256 850373035
143996 8234 874765728
171643 171047 955674793
109130 197500 228890501
127047 79298 328208583
2816 153079 483934408
23741 29535 557108555
112711 39333 465146116
174686 33871 172580624
5371 162944 484887683
38285 182611 6805364
35655 84478 909358190
117657 21409 884451194
38270 76181 356849033
89720 21403 614003054
69806 154729 179286024
196090 59732 530109859
52241 59705 337508883
39111 121830 126943945
99063 57674 370176983
64822 41596 205096219
163162 123652 162386375
170636 183741 68995648
71989 56027 625123461
23215 64414 377668398
50506 120989 632299393
39676 100688 334128607
65292 52664 655884802
97585 7060 368179666
6732 126083 398249085
173461 53756 956751000
31156 133971 203167580
68953 51020 454516435
181580 191402 444478358
27866 163776 915065813
20422 52721 913352107
35470 30629 556153110
49072 42509 809127933
158321 103655 483879059
31055 5600 115981539
18018 110654 668377702
1352 96485 632166519
185123 184564 303395732
71636 6191 44662171
40419 74891 943402518
115230 142413 159669848
168426 51291 726311322
60414 186921 629049679
154014 175921 870848857
62302 38815 97263406
144624 95250 362483854
156648 62886 203701724
193997 91764 419731939
97925 60474 791768887
32349 181581 494361589
191851 25628 359072229
82042 144730 683303031
169310 40503 536676586
45768 87836 471802784
112353 195784 236634966
89431 193195 735777302
144136 130836 40490793
153924 59477 280688772
150244 136305 591351756
171226 89329 62608954
86967 153815 830900539
129843 41496 392685548
73547 10098 436211212
153433 26573 974520184
57679 54710 223839756
123010 84703 99336187
94056 8884 571607015
116618 108248 268917442
131430 76756 33717076
130835 172663 534159900
123501 165900 548458376
195570 76293 446541313
166509 51508 539710435
162082 8422 785573027
9827 134253 974906371
144510 133033 154453000
6354 197394 345214601
20219 34187 535128030
25146 140877 733433795
65490 157502 610048497
36918 64237 960618114
20807 76687 524627277
94614 138544 138494719
93317 177465 519635224
7999 105769 839612405
117650 81438 77104983
101055 159949 775188204
90053 17854 753388242
153563 345 199107457
144197 67600 430306070
181974 111673 858359717
26274 193882 569164109
105460 174195 475702948
69635 102705 919571315
11823 171692 709125220
104614 54234 921032552
120056 258 100072428
50497 56579 977012673
20577 132320 222785259
51333 41655 462071869
118564 107607 715213002
5016 41903 971767488
59595 137865 259733915
97288 90730 295781362
163780 75345 996927350
150886 152198 561238980
147058 107345 750450189
174080 177606 467502770
50065 87084 274410194
112204 37748 295373146
42217 109479 41699003
195978 131994 311310285
36681 131955 942577844
97944 53498 447686114
32243 26766 783826200
14831 81993 369550593
154370 77780 430267349
105921 34322 828795623
14477 134398 166596134
148701 139265 406560877
50798 70989 39005836
195913 113533 729479176
67570 105986 461216936
79071 71190 836535716
55083 40575 427934154
25042 9615 317070818
159507 81477 923649716
182753 154934 786042835
13777 75781 588919873
65327 164626 520463313
122492 72844 444785037
83099 99963 482732645
158665 118082 412578099
81664 60005 310177857
196627 174048 311794888
172152 182708 742360297
74044 80324 923663925
10801 36443 542033745
187890 51259 209390365
171459 126980 15990705
125489 108312 495267574
59530 55011 111170102
163762 188791 116057910
147971 142645 559037934
60774 64486 747698512
55533 138557 19567954
51235 190623 598720469
64141 25964 98178774
168984 58790 271675213
99199 75989 89533035
39256 135343 481945834
