678 624
451 293 317369187
23 79 878516918
176 563 568089611
423 97 169500237
616 1 86358863
641 408 578433777
384 394 259940176
111 59 695535359
103 414 490472814
624 478 987517181
478 134 396816942
167 264 417851623
551 415 172627170
553 71 712613301
583 507 300045814
40 261 903697591
139 596 425656449
474 503 308107502
231 227 837790731
50 189 418619981
572 548 599575456
127 382 85716660
351 72 579715115
653 297 56335991
678 580 558024058
95 156 245084336
253 340 201672997
205 311 816982457
656 29 207557131
420 53 747718874
150 122 596429012
154 434 400855596
612 131 551895417
25 78 366830506
407 324 463466950
61 433 370399199
632 150 522402447
80 28 381972891
450 59 595439452
544 511 757033670
662 502 457651940
596 191 959549913
463 649 582652560
156 398 21109745
64 625 33818306
322 89 559368846
499 569 363827614
194 504 582455993
40 408 598792387
448 39 755768292
468 540 465069774
269 203 937712911
110 324 837360370
145 485 411201591
391 128 231733146
363 98 366594829
229 7 188498399
30 69 364166172
274 228 477831525
9 103 13762438
127 603 873108108
155 610 19889423
487 304 404156738
612 78 461898304
242 265 907220235
20 565 973754031
522 588 928550621
244 4 661963464
451 563 72931816
71 253 306793041
322 667 827180678
154 90 554590078
341 317 19500589
606 614 194506999
262 438 587357991
462 341 878937438
225 485 777923529
639 353 989393932
126 407 631567083
442 6 733215412
317 372 695636789
71 214 253128296
64 371 122645845
575 448 482812478
120 616 758569097
468 160 386752062
594 466 664746106
284 149 439841545
674 421 556729024
253 322 655287926
574 113 753212565
4 155 143689709
461 266 306378199
502 597 681959533
440 98 424908960
122 256 108685209
409 224 442201148
107 426 89147287
286 126 333809603
304 240 635817118
343 145 497394129
389 25 284653393
220 510 673473778
181 75 383567939
58 286 761562004
274 261 774629330
382 453 325897685
228 365 617238816
314 102 845754951
550 98 132627869
509 417 46288550
541 213 538603324
415 590 317966147
18 167 573263550
471 397 864821085
296 112 969251929
623 476 46444364
62 386 138274576
486 161 733129646
452 578 470059353
426 301 747050906
430 570 683740749
2 500 626323851
170 656 815455286
631 564 389935555
47 563 383621864
362 485 874658869
61 517 442677373
108 411 15202146
260 280 318788202
420 286 225287643
288 633 71840562
579 627 948628609
631 620 145675291
531 16 527363664
613 357 293069020
383 249 343841955
452 271 348175903
408 417 169409023
633 323 685423988
185 46 366531673
670 243 884424783
289 220 352044376
13 242 408808498
634 466 163263223
573 371 492913568
365 147 406737108
208 636 895661921
277 456 297750503
479 295 554499745
157 317 649342207
658 166 234879086
455 655 375387833
629 347 908398933
511 639 891271624
358 561 183913391
369 521 999179451
433 52 607564481
434 436 791232666
425 245 391352103
196 306 433443953
54 564 906546431
68 503 469609029
668 596 282715491
347 390 51655115
439 537 533979009
42 250 254761045
652 475 956742371
627 222 740721371
67 456 822350195
353 193 122196597
116 20 971501651
335 389 274441608
173 315 416801138
396 15 588210645
75 573 587079277
326 260 920190563
336 433 93878957
314 126 259582397
120 597 744317706
97 551 478379841
111 66 765349455
30 645 67705741
134 482 192284421
386 266 904589748
435 415 911252783
610 644 517431783
22 462 55093034
344 377 635068083
167 610 6786783
