189732 91795
9426 115940 789635239
32289 129611 548421246
62534 73560 793600250
93660 186152 375701356
85275 35200 905349771
117267 41977 290889723
5209 5041 576501458
125251 115560 948801634
80556 60772 215997048
135764 38952 308229792
46800 179966 670679938
181752 181125 906731764
31663 141936 953531818
39079 134553 329985316
2292 148605 464291807
44308 25982 41737559
113180 175352 359728942
64492 44462 587386493
151948 53774 840026250
22145 59068 866680784
161315 82045 142995446
59537 161700 656903014
25563 55082 407355726
67470 80214 919830190
94068 14685 362379884
97028 8674 836776646
91842 4938 283404729
179378 19048 228089655
152774 46851 503363628
42809 25265 925287474
160284 101052 146230480
119869 24531 298190119
157026 160340 805553440
130587 57423 738657364
131287 117008 497396178
84134 33960 622044425
133198 126889 825365399
168978 30779 499192143
82851 154573 382070740
78781 79946 156623159
146346 150586 280779788
139028 155542 997795483
155656 82177 404535369
57159 107745 883016003
182207 59371 809869328
132400 81522 871075445
55651 31426 668444626
5595 146837 645176887
111263 37784 142637397
147201 131925 335518887
104822 188697 689241154
188648 173693 798952234
104909 153375 252624148
26546 35735 734584622
47243 103685 134741371
131338 93605 655475585
92571 85230 733239142
96841 92415 936648855
36184 103566 373590281
163428 637 235564577
168888 133946 688835623
95266 156924 896671359
4046 56198 643218111
41526 71658 303416011
142398 19841 577122020
22879 60972 72852256
77400 95898 774457436
48141 65937 738621289
17109 19352 857299873
42143 92239 835576105
170944 79640 213761648
139826 104131 648844831
4248 138918 784888046
45173 101851 708952250
145300 3053 428572677
81939 95853 15102109
45610 184483 338279175
147289 130352 925365056
168498 160143 851900280
180634 136211 637984919
110886 129398 908142270
29484 29222 576339776
15775 23393 451639134
40402 163615 355298359
22518 113127 280498897
122974 111316 428578372
20208 26955 690124452
156333 129742 277421792
151280 92466 415191398
181314 141997 363309890
160584 167207 885407497
17129 144003 824510410
165739 181014 704337854
98130 130208 718884355
150437 62405 76886071
144031 218 558188447
74042 80216 785466376
28028 150073 221785748
116281 51953 159021545
165667 112094 354801266
52928 54701 239538944
118627 71342 984410277
