328 16652
79 280 63862
101 187 67452
112 84 21332
116 177 92843
3 47 90447
173 306 19122
158 149 31179
144 196 2779
24 299 49514
155 51 68249
225 94 85789
122 82 16637
168 314 78777
68 114 59854
272 160 2110
215 216 89914
92 119 28473
302 306 25245
269 49 29915
252 323 10803
4 27 89553
23 167 18351
305 71 37118
8 264 61874
203 237 85120
148 308 14923
3 146 40549
50 234 83283
306 148 75174
75 56 75593
214 45 6717
119 214 97760
125 268 39918
13 70 55406
328 45 84514
282 77 76605
326 116 37440
75 181 85336
51 101 35701
216 261 17424
80 299 26572
152 175 38617
101 196 48740
132 187 10327
91 292 10362
278 154 30599
64 155 33080
159 187 98124
320 9 68290
191 151 22250
298 37 99966
89 149 28133
194 144 16555
2 130 95954
202 4 83170
117 289 34115
225 247 86458
322 85 11792
21 163 33966
216 6 44711
118 311 75105
56 127 11335
214 184 1842
226 2 48962
39 186 15246
314 191 99228
62 308 81362
113 138 9113
49 263 19875
321 254 64116
158 246 29316
278 295 22020
147 190 17656
236 196 22675
209 132 70848
102 244 64544
10 308 19150
55 58 36977
181 45 78795
170 153 36723
272 82 90595
303 304 62077
135 187 66233
72 75 57087
243 263 32258
263 230 39722
47 255 30577
58 228 95451
277 301 60741
226 282 71231
236 283 76731
179 119 77608
147 36 1065
202 144 97676
118 164 7572
302 228 37541
133 162 23467
194 325 45032
200 156 66746
294 270 3429
159 1 90116
272 318 15585
254 69 84992
302 319 99514
284 120 95175
42 62 26223
50 149 21593
246 273 30819
99 187 26408
34 19 16662
219 42 26485
83 45 57486
18 152 93601
253 135 64536
59 300 78628
93 220 14152
174 275 85551
234 158 26078
158 21 32846
52 323 68064
323 51 23382
179 251 54762
222 34 89484
16 31 59148
304 238 18276
116 5 72417
251 209 65646
31 75 22718
191 169 85686
210 320 42281
25 314 98226
253 159 8209
314 289 87859
145 85 54417
316 52 40028
136 223 67415
140 150 65749
209 149 94143
58 138 41207
11 325 70023
81 303 64169
260 94 35682
52 192 34280
163 171 46881
52 249 11312
100 106 48597
233 140 73505
120 220 12653
188 168 66495
248 243 57187
316 48 47722
208 78 70847
135 21 35161
294 96 97832
20 295 12358
98 58 14892
71 44 50466
41 97 14677
79 25 21051
23 145 46853
167 304 58338
61 130 57020
136 215 91379
167 311 77939
171 197 40812
149 281 4993
56 279 32007
119 225 84117
191 244 66481
118 80 10313
190 116 81932
311 212 56108
163 79 95312
1 241 56198
197 224 17303
245 38 65410
321 179 46464
231 170 76315
189 199 26847
252 265 31413
318 223 87821
291 156 54391
135 24 47562
225 60 20207
96 146 40827
52 279 16474
62 37 58154
142 60 25455
58 3 53894
198 200 47628
182 310 41835
66 272 86966
326 78 91169
62 129 22245
274 291 7061
73 226 12649
206 95 49577
248 41 94083
112 118 36671
148 250 15794
16 187 51714
265 306 70793
34 319 82298
258 2 74338
313 63 42118
30 312 80918
224 43 95130
152 46 19737
275 207 61758
266 55 96822
113 126 48103
16 92 16903
69 63 96902
86 324 50128
143 103 16101
189 135 25884
147 303 6477
29 293 45879
188 13 55610
255 103 70348
9 104 63573
114 315 53653
121 323 20292
152 121 5563
284 200 80356
298 84 11031
255 5 88981
215 247 69094
292 66 74667
303 76 69999
18 287 44416
313 201 78236
38 257 50782
65 148 37569
158 37 69807
177 245 79921
102 114 84366
190 229 27836
45 123 50507
86 208 20531
266 14 9212
227 217 97714
319 72 99306
198 186 15471
223 319 65369
65 70 21939
81 318 69137
214 1 53369
294 66 39472
100 265 4221
312 94 80477
249 138 97341
216 153 77603
164 115 91592
214 48 28958
94 320 60926
302 286 21096
75 198 35743
106 145 66214
279 237 72764
116 266 92011
68 323 32888
300 255 27850
240 72 36975
167 149 66191
48 86 91250
19 325 23394
207 171 93859
88 188 62750
289 256 5347
197 94 39205
312 269 92773
7 284 93755
269 73 68041
110 262 17327
174 81 91760
58 173 4856
172 80 8029
296 238 78013
308 323 45055
109 262 33684
278 3 10833
32 315 61307
205 272 33055
170 269 32171
1 17 73836
171 138 92763
199 149 38817
51 35 86432
201 17 61298
290 311 76199
109 5 40452
100 244 33885
312 236 25282
271 37 60258
65 111 18502
285 289 21379
130 282 4916
201 177 5757
140 111 75204
215 170 89744
103 189 88144
308 292 91139
92 84 41781
67 187 19734
209 175 74962
244 146 53008
73 260 33329
90 81 2654
148 279 43452
71 133 43826
298 27 3526
157 141 66424
314 208 95904
258 110 52311
239 192 89028
302 115 89169
138 318 31119
85 323 88061
247 298 94108
221 126 86147
171 132 14108
113 117 76761
250 102 33384
103 98 79663
158 22 47791
233 43 6407
129 35 96688
276 211 42395
49 308 71534
124 322 48463
160 294 69558
90 136 26958
219 118 21171
236 325 14337
311 86 68768
97 295 44037
53 298 61540
212 269 68631
219 88 43808
54 108 87954
176 39 97389
157 76 42122
253 86 91594
209 137 13347
314 317 81
22 196 8671
203 147 20392
254 136 90980
124 122 90605
315 211 32563
151 288 60867
277 268 43737
287 86 70218
31 109 32244
237 171 16544
196 70 47214
69 129 15830
4 115 87724
18 322 69527
82 249 14284
50 227 24259
8 285 12463
270 14 70560
279 246 73884
99 130 59429
56 180 8554
154 297 37906
306 246 2615
160 54 90100
97 250 39128
33 215 65793
65 9 70815
103 144 61748
47 306 98406
33 288 88098
230 291 82229
301 290 37643
102 98 40297
209 52 56102
196 279 31947
318 300 79391
157 46 91166
165 324 95044
267 160 27472
11 169 93784
235 14 72806
216 320 47504
41 2 30526
190 220 17986
99 133 82191
215 153 13187
146 192 62360
243 107 48949
38 161 12869
185 13 71819
203 111 76756
148 161 65404
326 58 57982
325 204 14903
205 301 18628
25 61 8749
254 26 93033
192 247 55584
16 307 30649
124 67 58126
206 233 22753
173 130 44843
134 108 19107
147 289 64148
222 190 87579
34 250 57389
159 172 26394
309 185 85378
89 111 75242
241 300 85665
125 256 58014
298 256 260
35 184 17018
118 163 56970
10 230 4445
95 256 55670
105 260 16596
284 204 23666
327 101 13424
107 273 26147
276 125 39652
103 84 74161
285 37 48847
271 302 40095
255 302 13586
96 244 74182
49 205 15362
196 120 32882
149 101 69439
252 318 98172
13 30 401
297 83 83802
197 130 47642
47 206 10431
196 205 7163
305 45 76706
301 219 45021
258 271 20669
81 173 32502
30 322 14982
264 210 96470
231 48 11422
195 141 94534
93 90 51180
191 103 27346
35 43 82287
55 3 8990
70 213 63291
156 221 49723
206 295 18626
278 56 67407
245 256 68280
308 98 39781
255 277 41202
205 255 71109
3 298 73321
210 64 94775
148 292 1710
110 254 39645
229 71 26022
290 291 81155
185 51 32905
106 58 12872
177 224 16258
269 173 34744
292 96 6463
237 204 78431
92 169 56614
104 96 98170
123 7 24889
189 46 59608
132 76 66431
312 288 52313
306 324 44147
67 303 52909
162 250 85834
58 309 33369
131 229 30779
303 59 14146
120 87 92961
286 139 79435
300 53 635
151 307 45958
215 113 4822
43 307 90154
311 170 7537
13 259 2534
150 164 71699
239 260 29982
46 50 49100
232 105 85527
153 300 58918
297 145 35717
211 231 24237
183 225 52668
164 220 44002
163 227 67852
184 55 3953
296 40 63639
154 107 40460
257 142 85518
78 13 32121
215 231 97024
214 263 48113
61 129 14456
229 302 85833
75 281 86633
70 25 2566
263 218 42133
52 165 50240
30 205 34604
243 169 15879
317 166 78677
39 111 9648
311 287 47780
13 312 486
205 278 30212
15 2 15728
328 157 67084
313 34 23644
299 125 81845
16 264 90448
96 143 66651
220 288 18194
249 301 20696
282 213 57050
76 169 64613
69 116 35677
90 108 63329
315 237 6271
291 174 50043
286 2 3431
144 35 12855
252 136 8309
291 67 43724
318 319 97651
233 291 56418
85 239 5057
268 288 13285
84 327 75565
257 81 50863
259 237 28626
148 255 56689
3 320 28460
215 318 29534
285 58 45988
128 265 68129
84 3 94881
122 64 59198
235 189 2254
